layer,cs_fr_to_english_mean,cs_fr_to_french_mean,french_to_english_mean,cs_hi_to_english_mean,cs_hi_to_hindi_mean,hindi_to_english_mean,cs_fr_to_cs_hi_mean,hindi_to_french_mean,cs_fr_favour,cs_hi_favour,uniqueness_fr,uniqueness_hi,uniqueness_fr_norm,uniqueness_hi_norm,cs_sharing_ratio,n
0,2.978995046935401,1.297091192937828,3.551889411202661,5.77504334053597,0.740340558094186,6.089009331272648,5.367945152240711,5.696819534530869,0.696663928849358,0.8863703845427213,0.7241968286705682,0.42637456735750767,0.20389058970911234,0.0700236349560916,0.05772947338763568,999
1,3.988824691381063,1.753662723201412,4.650896478820969,7.468307424474646,1.113440065233557,7.898604643118155,6.740117367562112,7.0685251291330395,0.694616182232403,0.870254854821653,1.0915909357615066,0.683142846590048,0.23470548922885867,0.08648905428129787,0.04646057913167545,999
2,5.275718722138199,2.398860286783289,6.03202734480391,10.18047072722747,1.6265793506566946,10.751777915267256,9.355975011208871,9.739360228434458,0.6874277675858236,0.8622366002897021,1.6425516641175788,1.0552721626169088,0.2723050754750722,0.09814861969358225,0.03936451859667689,999
3,41.73351901668209,15.103586543191064,55.03145587241447,129.66831127563873,10.395438579706338,134.1819647864417,89.90058781220033,80.85259335415738,0.7342653817122452,0.9257806634500337,1.8056496874586827,5.881785068903355,0.032811228751003944,0.0438343936744868,-0.1119072879615759,999
4,46.721367377776645,17.033664446454626,61.66560950579944,147.1505308046236,11.896977107386451,152.3548730061696,102.4658676325022,92.44008734324076,0.7328263516400767,0.9251985946034426,2.0894223184318292,6.6926349058404355,0.033883104940307045,0.04392793465247506,-0.1084570619340719,999
5,47.76283060442339,17.50857388126003,63.070254447104574,151.9183920229281,12.242421640290154,157.28556885972276,106.23594608822384,96.01381311235247,0.7317573594970227,0.9254242143642137,2.201150038578845,6.875244803495491,0.03489997079488389,0.04371186023550674,-0.10646523279775488,999
6,49.642636585521984,18.201927803180837,65.36265687780218,158.021645220431,12.829596975663522,163.63406449586182,110.6923273065546,100.32728315091825,0.7317113320057096,0.924907792182234,2.4819075109006405,7.217177700232696,0.03797133759664853,0.04410559452903009,-0.10331231763758142,999
7,50.38125102775352,18.544511790748114,65.95005319116113,160.02334137650223,13.265889502860404,165.611954441777,112.27628865399518,101.99417388045394,0.730949487684455,0.9234465439959735,2.975709627340507,7.677276437585647,0.0451206554491167,0.04635701850750829,-0.10081080488562688,999
8,50.708027314614725,18.94591516608352,66.30327346637561,160.69822348631897,13.602183987189818,166.3317154167412,112.93328259633229,102.63760449482992,0.727999385266475,0.9219612610574259,3.3506690143226336,7.968692056767594,0.05053549905822529,0.04790843427739016,-0.10031097414221013,999
9,51.5384778270015,19.435883248771155,67.39465531071384,163.48376961441727,13.81611263286602,169.21470037618795,114.9741169678437,104.51764359727159,0.7261562772607019,0.9220748910435418,3.5797057650588187,8.08518187109533,0.053115573453472224,0.047780611570052915,-0.10004505459253044,999
10,51.63794598087773,19.441905484901177,67.32748038012225,163.5284233360558,13.973181164658463,169.0391142332518,115.04778325879896,104.56476762177827,0.7264779668043316,0.9212785641393173,3.7523710856566623,8.462490267462442,0.05573312804688263,0.050062320223026556,-0.10025380311594367,999
11,52.388873942263494,19.596746327282787,68.13075996376014,165.98301803123007,14.217281759441555,171.55301033149848,116.72194015037071,106.23004413486362,0.7277685979341221,0.9211028961374205,3.854860305786133,8.647289459173152,0.05658032153568803,0.050405932498413186,-0.09876580669776924,999
12,52.87181961357415,20.20520913565123,69.15208854045238,167.9335099698545,14.590325273193038,173.77766020185834,118.29706768039708,107.51614469045155,0.7235080641794638,0.9200634521898726,3.9249402087729948,8.74617504118919,0.05675808628555614,0.05032968582110282,-0.1002725963619886,999
13,53.262814252584185,20.280628465198063,69.35389597399218,168.17735600590825,14.78261971378231,173.81474141530447,118.31312983744853,107.50298633518162,0.7242360743123504,0.919202985981904,4.189546743790075,9.145234304386094,0.06040823928272291,0.05261483709260751,-0.1005566808865812,999
14,53.34195569088986,20.592075236208803,69.61636942977066,168.3472359707883,14.871892997571775,174.18884646212373,118.71945404266572,107.95323795551533,0.7214804199742869,0.9188300201485605,4.317661497328004,9.030282506236318,0.06202077948151943,0.05184191002540152,-0.09973036733358165,999
15,53.76506966561288,20.789158111577994,69.87666438601993,170.23670860954948,15.16035813170749,176.02071525336981,120.32110008033547,109.58953517955823,0.7211538669420734,0.918227626750709,4.677563391170949,9.376351487887149,0.06694027872683311,0.05326845464670363,-0.09792508812282796,999
16,53.72638783345113,21.130165567149866,70.16518715504291,169.76112331356015,15.210345181378278,175.6083463644003,120.05359885642478,109.08687328266072,0.7177245730076925,0.9177692359026052,4.691366245558086,9.36312213053813,0.06686173635542411,0.05331820681561329,-0.10053203683217049,999
17,54.367057261882245,21.27649792679795,70.61557471167457,170.78602012046227,15.309844682166526,176.61545469572354,120.70342708851125,109.89302427465613,0.7187268911288668,0.9177314084459571,5.027980477005627,9.480410106905254,0.07120214622373316,0.05367825891964834,-0.09837205659071602,999
18,54.13864122568308,21.62765534050591,70.22403160492341,171.7290061095336,15.668547615393981,177.63120123908087,122.38675911362107,111.69265689983501,0.7145478091468072,0.9163887291316671,5.542264961265587,9.76635248584671,0.0789226256854184,0.05498106423404736,-0.09574579475192335,999
19,58.304250258941195,23.683460660882897,74.9373518683173,174.7909064727264,16.300375425541127,180.8820178210437,125.00719329711792,114.87864955027659,0.7111340174973988,0.9146984871692574,7.050359051506803,10.209264077223821,0.0940833759772446,0.05644156450510177,-0.0881673294002896,999
20,60.84529615331579,24.923912462887465,77.39793457665124,177.11048646684404,17.118856940780198,183.28827915058002,127.16825692574899,117.71030057538617,0.7094072235001013,0.9118626637481242,8.37127403955202,10.941064257044218,0.1081588815549066,0.05969320191750331,-0.0803494366536095,999
21,66.71505859115341,27.014028080948837,84.36527689799175,180.72140644214772,18.14052494247635,187.01983318767986,127.85640450020333,118.55357288669896,0.711786073595581,0.9087782924300475,9.363809774110493,11.842098196944221,0.11099127647411869,0.06332001261292501,-0.0784694326472164,999
22,74.43930587348518,30.384710905668854,93.23795363662002,191.42499533835593,19.70156216024756,198.25805476955227,136.05125887759098,127.13746373861044,0.7101359798414756,0.9066836384643617,11.586063142534016,12.868502729051215,0.1242633786928251,0.06490784318125184,-0.07011147514005667,999
23,89.9490267053858,36.185984858282815,112.87713704954038,214.67437867860536,22.25857421466419,222.88422521337256,154.49270013574366,147.19714053806004,0.7131170448488162,0.9060553884467414,13.257874514128247,14.048727679896984,0.1174540288626827,0.06303150286126116,-0.04956318825569572,999
24,111.22738675336103,44.95763739833125,139.31401256756024,244.87629572932306,25.925770215921336,254.57754435649028,182.73611841211329,177.46649250110707,0.7121514200888532,0.9042630264489706,16.87101158413205,16.22452158875413,0.12110060769902421,0.06373115755016193,-0.029693638649427756,999
25,139.7825323072401,56.84416199207783,177.11580221884483,257.66663756957644,29.551541042041492,268.43102072714805,202.23484987062258,204.1122528626038,0.7109031293957727,0.8971111745298935,19.5108920804731,18.787157884469877,0.11015895721864381,0.06998877340211199,0.009197894666093442,999
26,161.73489798392143,71.3470966885159,205.18260969557204,223.340472613727,29.38792411271516,234.74999265317564,204.1279214395059,224.78009040840158,0.6938970048041557,0.8837173641656012,27.899384976865292,17.978404073266518,0.13597343857210742,0.07658532325946574,0.09187721626258849,999
27,344.6235047455903,128.38574605374723,417.4488158354888,460.62848215036325,54.68009190850549,490.58665226505804,478.04361893631915,542.827641575902,0.7285766698133828,0.8938886432904612,55.56043496384876,24.721921793810736,0.1330952031839359,0.05039256913975282,0.11934547485517255,999
